ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
0.730816895,-0.053975694,-0.118115031,0.253757325,0.063745578,-0.071720355,-0.093912998,0.759584216,0.065247296,0.168977567,-0.035293903,0.830451431,-0.033537863,-0.058626252,0.057277422
0.674897765,0.082250259,-0.076886721,0.15585564,0.217675018,0.016094138,-0.097621885,0.65417726,0.185435765,0.131271142,-0.048807851,0.827147325,-0.006475661,-0.210910391,0.05606098
0.660947411,-0.021497473,-0.106287567,0.093379571,0.104348303,-0.012561178,-0.105454056,0.695681776,0.11608664,-0.030410293,-0.009591792,0.665983476,0.016189453,-0.499532617,0.059979541
0.962023727,-0.086316475,0.555206929,0.958762142,0.109020208,-0.024748673,0.606219652,0.980376502,0.09702866,0.148256001,-0.046469885,-0.05741736,0.605256241,0.008892775,0.04576347
0.408076755,-0.032336921,-0.067326772,-0.251497295,0.026175777,-0.079272225,0.068623564,0.593634207,0.044827946,0.255075698,0.000667401,0.727510872,0.015946983,-0.050479251,0.069515527
0.84633212,-0.054945997,0.222077592,0.712530363,-0.018413895,-0.039222304,0.201549209,0.893258109,0.005913529,0.61309625,-0.045481586,0.807878728,0.24616963,0.600291582,-0.029684642
0.953564704,-0.311824192,-0.522539174,0.919116135,-0.258332106,-0.269280434,-0.495485339,0.972625668,-0.222391482,0.465656145,-0.259607734,0.94338207,-0.525223325,0.441993053,-0.233930847
0.797914818,-0.182254067,-0.201983466,0.698962096,-0.146523006,-0.225887819,-0.281044012,0.88893522,-0.183742063,0.431679761,-0.224446762,0.930672234,-0.269255043,0.282307008,-0.219344249
0.528510718,-0.070607179,-0.051620139,-0.249841189,0.087925121,-0.048928498,-0.046994488,0.581389015,0.062153387,-0.126401051,0.054580938,0.737546888,-0.021775984,-0.388888556,0.0674654
0.573057729,0.007622562,0.032226176,-0.204983664,0.038685105,-0.002864908,-0.049219533,0.577361195,0.105964216,0.284873858,0.040962596,0.827643522,0.009495249,0.109646482,0.169121393
0.943589042,0.699316409,-0.573156629,0.873868929,0.789444291,0.66120578,-0.545449684,0.903417702,0.76339411,-0.685819709,0.68207935,0.944184827,-0.547284181,-0.763371003,0.752138421
0.782567359,-0.16431319,-0.353987951,0.69719605,-0.200548022,-0.166538086,-0.293004561,0.817050181,-0.200406299,0.133419274,-0.160246514,0.609927133,-0.270447472,-0.013925302,-0.26109614
0.76591732,-0.178844511,-0.08401184,0.598186486,-0.149569473,-0.242698927,-0.076295948,0.801536797,-0.170825234,0.488451499,-0.203550993,0.778945701,0.036045639,0.306716329,-0.202840108
0.921264648,-0.431344914,-0.598560473,0.892557378,-0.385558169,-0.436867596,-0.590477304,0.938840945,-0.399797071,0.590653784,-0.445220838,0.907653267,-0.608269835,0.437607146,-0.418809836
0.553737839,0.016519598,-0.025582801,-0.076945544,0.08252511,-0.088315868,0.024043305,0.636096882,-0.004264401,0.224457825,-0.078879437,0.771436512,0.153619279,0.065187326,-0.077865231
0.530644572,-0.019085503,0.069649746,-0.020391517,0.049214225,-0.061571312,0.038092422,0.663619905,-0.009509647,0.3915683,-0.036911987,0.776730805,0.071095424,0.246308517,-0.024843893
0.618328133,-0.097849915,-0.032827717,0.472897679,0.036688573,0.013881129,0.095202663,0.742495752,0.012482758,0.452681454,-0.071527134,-0.000464147,0.006011408,-0.486372509,0.08893971
0.480375112,-0.01875882,-0.079320232,0.46047861,0.094588807,-0.038893529,0.025043511,0.807947642,0.074976469,0.232351426,-0.043356109,0.55121087,-0.019920521,0.312376078,0.164241062
0.651173612,-0.103118845,0.021744175,0.512800854,0.144169256,-0.073358554,0.005110661,0.883915497,0.197074413,0.178140112,-0.051841787,0.558339302,0.040478869,-0.283443243,0.326262529
0.532500708,-0.079552268,-0.061669714,0.510328593,0.010828682,0.302362278,0.242084653,0.694875484,0.375407135,0.832955892,-0.054794816,0.894786646,-0.041239308,0.806949277,0.071290032
0.575581503,-0.086348722,0.002658039,0.522960508,0.095092268,-0.179384417,-0.244001715,0.768327811,-0.010693898,0.461804986,-0.035345247,0.720263322,0.011595062,0.277710122,0.163646306
0.378092649,0.009805444,0.098228072,0.487021062,0.094872574,0.126505256,0.232684561,0.529530556,0.07360266,0.545422196,0.023080187,0.756471619,0.092871343,0.667906046,0.107249583
0.709454196,-0.09476768,-0.043368918,0.502531056,-0.008745982,-0.046600258,-0.005127732,0.882881415,0.097612551,0.469207674,-0.036428719,0.701755105,0.019795183,0.424156472,0.109273626
0.872958601,0.324377127,-0.050512636,0.973165763,0.410475586,0.466421725,-0.078787963,0.88475034,0.43730007,-0.534523561,0.332926792,0.860432583,-0.044563226,-0.653352257,0.406836115
0.892382313,0.061490653,0.262662569,0.875905895,0.140170385,0.081135775,0.304333204,0.935095613,0.33324019,0.265400841,0.136708477,-0.066854553,0.384605384,0.015724271,0.128305144
0.623851634,-0.086125858,0.25458638,0.296327907,0.248940992,0.033718856,0.196793721,0.713801733,0.652133187,0.001486002,0.046471412,-0.052864441,0.317206317,-0.050053611,0.300695449
