,ADP,ADAT,AZT,AAS,AHWVC,DPDAT,DPZT,DPAS,DPHWVC,DATZT,DATAS,DATHWVC,ZTAS,ZTHWVC,ASHWVC
0,0.34880878,-0.265349501,0.085731124,0,-0.242696255,0.120108259,-0.017871154,0,-0.114554061,0.10903311,0,0.570180834,0,-0.503413053,0
1,0.055890832,-0.594218496,-0.079353211,0,-0.451085521,0.035154011,-0.047802231,0,0.049815879,0.092218337,0,0.731710636,0,-0.274589641,0
2,-0.269379385,-0.229204137,0.148983416,-0.092986329,-0.21450588,0.081660544,0.037359339,-0.064985289,-0.004416807,0.113147252,0.029565565,0.791007604,0.064696627,-0.302302035,-0.01573524
3,0.419014681,-0.637985237,0.077233231,0,-0.571754837,-0.156819986,0.059859029,0,-0.194800668,0.103141266,0,0.911289303,0,-0.155035234,0
4,0.088358825,-0.259670258,0.096919306,0,-0.184391281,0.460314427,0.055561242,0,0.103038142,0.237554105,0,0.103022047,0,-0.612671355,0
5,0.412292206,-0.326441059,0.156229761,0,-0.218967914,0.15940868,-0.038847767,0,0.258695983,-0.053561425,0,0.879828719,0,-0.293956881,0
6,0.22016129,-0.447451794,0.269933541,0,-0.508032575,0.4054129,0.146068236,0,0.237756548,0.022837452,0,0.894396638,0,-0.191733524,0
7,0.482761966,0.024904047,0.059860341,0.071440903,-0.007843723,-0.007921983,-0.090676983,0.029586793,0.09850739,-0.179089425,0.019571504,0.597786715,0.227629946,-0.700592578,-0.149492048
8,0.938249188,0.142516115,0.689027818,0.885008659,0,0.266364826,0.713158839,0.916841454,0,0.273845411,0.245140296,0,0.78875625,0,0
9,0.023643587,-0.368722025,0.188210801,0.101257026,-0.28948842,-0.093226184,0.101586422,0.098082592,0.00966898,-0.239475706,-0.042595132,0.571957372,0.144423071,-0.640518356,-0.106665725
10,0.562517954,-0.289842076,0.835806579,0.83012031,0.058499329,-0.166061777,0.399987297,0.553729396,0.058855429,-0.178957505,-0.117908976,-0.000266494,0.883317333,0.01366993,0.061481665
11,0.274303031,-0.385148254,0.307504531,0.207647603,-0.470175559,0.005618422,0.045207295,0.208673112,0.117150342,-0.183952223,-0.020141394,0.535593898,0.277679621,-0.674642215,-0.163243308
12,0.849564892,0.143965739,-0.500263365,0.869030261,0.703302313,0.389011141,-0.554010466,0.872044749,0.819403055,-0.319817407,0.258716014,0.589193848,-0.549351633,-0.747065483,0.807722553
13,0.786297365,0.103017808,0,0.814643534,0.789725249,0.003999948,0,0.830078741,0.801146332,0,0.15363892,0.114817495,0,0,0.940549272
14,0.733796202,0.502167899,-0.405535545,0.790821858,0.639716877,0.577907971,-0.669372391,0.7971404,0.759906853,-0.544714045,0.642302082,0.858718179,-0.594224577,-0.696603486,0.82532569
15,0.173843862,-0.091956612,0.157665961,0.058704,-0.037441783,-0.049737,0.083410232,0.058949995,0.081262839,0.127854005,0.052397239,0.546566885,-0.0166365,-0.39161512,0.058662803
16,0.34066385,-0.222070558,0.283557956,0.059408654,-0.203235974,-0.376550438,-0.117193454,0.099266672,-0.33693808,-0.001496005,0.068131402,0.943092828,0.010269674,-0.112056777,0.095259232
17,0.064516085,-0.41333947,0.140434769,-0.017335075,-0.386563658,0.151144701,0.086270887,-0.015243445,0.123760032,0.0707397,0.023380252,0.822424045,0.001995187,-0.253914667,0.009689122
18,0.702413328,-0.056667121,-0.151520381,0.603720049,0.530972837,-0.026874859,-0.264207461,0.62814266,0.555509058,0.240437807,-0.033099381,-0.009126415,-0.475841037,-0.555166371,0.887793381
19,0.897803598,-0.100612512,0.440171461,0.929112278,0.058499457,-0.092588708,0.447018662,0.912001748,0.059273885,0.09973335,-0.051343721,-0.030920167,0.520766339,0.017864258,0.059273705
20,0.163562193,-0.298296118,0.019277795,0.05866984,-0.142622818,-0.005944033,-0.004455782,0.000170584,0.080963905,0.106895314,-0.027170848,0.621227068,0.023437754,-0.536396131,0.058738325
21,0.85007913,-0.250669453,-0.669291814,0.948793228,0.815244734,-0.245675343,-0.76050426,0.865062659,0.767350944,0.324438232,-0.331888075,-0.006470602,-0.727552134,-0.663606,0.797177864
